206	121	152	152	153	181	28	1	29	25
203	37	144	144	146	179	33	2	35	24
192	78	148	148	148	177	29	0	29	15
191	133	110	110	110	173	63	0	63	18
185	74	142	142	144	177	33	2	35	8
182	117	135	135	136	172	36	1	37	10
181	25	159	159	161	162	1	2	3	19
179	127	162	162	162	163	1	0	1	16
178	94	163	163	164	164	0	1	1	14
178	2	164	164	164	169	5	0	5	9
177	118	151	151	153	154	1	2	3	23
177	104	97	97	98	157	59	1	60	20
176	14	147	147	148	173	25	1	26	3
173	12	157	157	158	159	1	1	2	14
172	46	156	156	158	159	1	2	3	13
169	56	144	144	146	152	6	2	8	17
165	88	121	121	122	157	35	1	36	8
163	5	155	155	156	157	1	1	2	6
160	90	135	135	137	137	0	2	2	23
159	26	139	139	140	140	0	1	1	19
159	70	143	143	143	143	0	0	0	16
159	6	132	132	132	133	1	0	1	26
157	97	148	148	148	151	3	0	3	6
157	53	146	146	148	152	4	2	6	5
157	79	111	111	112	144	32	1	33	13
157	101	145	145	145	148	3	0	3	9
154	3	113	113	114	135	21	1	22	19
154	21	111	111	112	138	26	1	27	16
152	71	128	128	129	130	1	1	2	22
152	31	115	115	116	144	28	1	29	8
151	33	116	116	118	144	26	2	28	7
148	134	136	136	138	138	0	2	2	10
148	30	124	124	125	125	0	1	1	23
144	10	126	126	126	126	0	0	0	18
144	58	122	122	124	137	13	2	15	7
144	116	134	134	135	141	6	1	7	3
143	92	133	133	134	136	2	1	3	7
142	87	124	124	126	126	0	2	2	16
141	24	110	110	110	116	6	0	6	25
138	34	111	111	112	124	12	1	13	14
137	80	129	129	129	132	3	0	3	5
136	32	116	116	118	119	1	2	3	17
135	13	117	117	118	118	0	1	1	17
135	99	117	117	117	122	5	0	5	13
133	1	118	118	118	123	5	0	5	10
133	20	130	130	132	132	0	2	2	1
132	112	104	104	104	106	2	0	2	26
132	54	112	112	113	113	0	1	1	19
130	130	105	105	105	107	2	0	2	23
128	64	109	109	110	110	0	1	1	18
127	84	103	103	106	106	0	3	3	21
124	113	113	113	113	115	2	0	2	9
123	52	106	106	107	112	5	1	6	11
122	85	105	105	106	106	0	1	1	16
122	122	98	98	98	99	1	0	1	23
119	41	96	96	98	101	3	2	5	18
118	128	108	108	110	112	2	2	4	6
118	110	116	116	117	117	0	1	1	1
116	103	86	86	86	92	6	0	6	24
115	114	85	85	87	95	8	2	10	20
113	95	93	93	96	96	0	3	3	17
112	123	84	84	87	94	7	3	10	18
112	38	92	92	92	92	0	0	0	20
106	29	92	92	93	93	0	1	1	13
106	93	82	82	82	82	0	0	0	24
104	129	24	24	26	85	59	2	61	19
101	19	87	87	88	88	0	1	1	13
99	115	26	26	26	84	58	0	58	15
95	59	88	88	91	92	1	3	4	3
94	109	63	63	64	72	8	1	9	22
93	57	84	84	85	85	0	1	1	8
92	60	67	67	67	74	7	0	7	18
91	50	52	52	53	70	17	1	18	21
85	9	75	75	75	77	2	0	2	8
85	82	76	76	78	80	2	2	4	5
85	76	59	59	59	61	2	0	2	24
84	125	62	62	64	66	2	2	4	18
84	47	59	59	59	67	8	0	8	17
80	49	63	63	63	65	2	0	2	15
80	22	64	64	67	67	0	3	3	13
77	67	26	26	27	74	47	1	48	3
74	11	53	53	53	59	6	0	6	15
72	28	43	43	43	47	4	0	4	25
70	16	28	28	31	52	21	3	24	18
67	8	40	40	41	43	2	1	3	24
66	4	52	52	54	59	5	2	7	7
66	69	64	64	65	65	0	1	1	1
66	119	50	50	50	54	4	0	4	12
65	62	44	44	45	58	13	1	14	7
61	81	49	49	51	57	6	2	8	4
61	18	50	50	51	51	0	1	1	10
59	72	43	43	44	49	5	1	6	10
59	15	39	39	39	45	6	0	6	14
58	105	31	31	31	32	1	0	1	26
57	73	32	32	33	43	10	1	11	14
54	66	43	43	44	50	6	1	7	4
54	120	31	31	31	35	4	0	4	19
53	111	29	29	29	29	0	0	0	24
52	106	41	41	43	44	1	2	3	8
50	98	33	33	35	39	4	2	6	11
49	126	20	20	22	25	3	2	5	24
47	39	31	31	32	32	0	1	1	15
46	86	26	26	29	29	0	3	3	17
45	27	29	29	29	29	0	0	0	16
45	42	19	19	19	20	1	0	1	25
44	7	13	13	15	36	21	2	23	8
43	83	33	33	33	33	0	0	0	10
43	55	33	33	34	38	4	1	5	5
43	132	19	19	19	27	8	0	8	16
39	124	12	12	14	14	0	2	2	25
38	61	16	16	18	18	0	2	2	20
38	89	26	26	28	30	2	2	4	8
36	107	29	29	31	32	1	2	3	4
35	75	15	15	16	25	9	1	10	10
35	102	13	13	13	13	0	0	0	22
32	40	24	24	24	24	0	0	0	8
32	43	9	9	10	10	0	1	1	22
32	96	11	11	12	12	0	1	1	20
32	63	13	13	13	13	0	0	0	19
30	23	8	8	10	10	0	2	2	20
28	48	4	4	5	5	0	1	1	23
27	100	2	2	2	2	0	0	0	25
25	51	4	4	6	6	0	2	2	19
25	35	14	14	15	23	8	1	9	2
23	77	14	14	16	19	3	2	5	4
20	17	5	5	6	6	0	1	1	14
19	65	4	4	5	5	0	1	1	14
10	36	2	2	3	3	0	1	1	7

========== STATISTICS ==========
1) Total orders: 134
   ODG: 12  ODN: 17  OT: 3  OVG: 8  OVC: 73  OVN: 21
2) Total chefs: 15   CN: 10  CS: 5
3) Total scooters: 8
4) Finished: 128 (95.5224%)   Cancelled: 6 (4.47761%)
5) Overwait orders: 3 (2.34375% of finished)
6) Averages (finished orders):
   Avg Ti    = 7.55469
   Avg Tc    = 1.04688
   Avg Tw    = 8.60156
   Avg Tserv = 14.5391
7) Scooter utilization: 166.019%
8) Chef utilization:    4.46602%
