319	101	298	298	301	302	1	3	4	17
317	226	295	295	296	296	0	1	1	21
316	52	294	294	294	294	0	0	0	22
315	239	293	293	293	293	0	0	0	22
315	153	294	294	295	295	0	1	1	20
315	203	284	284	286	298	12	2	14	17
311	11	286	286	286	286	0	0	0	25
310	241	289	289	289	294	5	0	5	16
309	117	287	287	287	299	12	0	12	10
308	204	300	300	300	300	0	0	0	8
305	18	297	297	298	298	0	1	1	7
304	43	289	289	290	290	0	1	1	14
304	227	278	278	280	280	0	2	2	24
302	40	275	275	276	278	2	1	3	24
301	243	285	285	287	287	0	2	2	14
300	159	269	269	271	275	4	2	6	25
300	46	274	274	277	277	0	3	3	23
300	29	297	297	299	299	0	2	2	1
299	218	288	288	291	291	0	3	3	8
299	28	288	288	288	292	4	0	4	7
299	183	275	275	276	276	0	1	1	23
299	27	277	277	278	278	0	1	1	21
298	163	284	284	285	285	0	1	1	13
298	124	285	285	288	294	6	3	9	4
296	222	282	282	282	282	0	0	0	14
294	56	277	277	277	278	1	0	1	16
294	145	290	290	290	291	1	0	1	3
294	216	274	274	274	275	1	0	1	19
293	198	292	292	292	292	0	0	0	1
292	258	271	271	272	273	1	1	2	19
291	194	268	268	270	270	0	2	2	21
291	136	288	288	290	290	0	2	2	1
290	158	263	263	266	266	0	3	3	24
286	120	265	265	266	266	0	1	1	20
285	79	283	283	284	284	0	1	1	1
284	102	268	268	268	268	0	0	0	16
282	248	277	277	278	278	0	1	1	4
281	245	258	258	258	258	0	0	0	23
280	62	255	255	257	257	0	2	2	23
278	172	266	266	266	266	0	0	0	12
278	48	259	259	261	261	0	2	2	17
275	148	264	264	266	266	0	2	2	9
275	57	248	248	250	250	0	2	2	25
275	246	252	252	252	252	0	0	0	23
273	110	248	248	249	249	0	1	1	24
272	24	270	270	271	271	0	1	1	1
272	155	269	269	271	271	0	2	2	1
271	256	268	268	270	270	0	2	2	1
270	126	255	255	256	256	0	1	1	14
269	168	255	255	257	257	0	2	2	12
267	200	243	243	244	244	0	1	1	23
263	244	248	248	250	250	0	2	2	13
262	118	254	254	255	255	0	1	1	7
260	167	259	259	259	259	0	0	0	1
258	33	246	246	247	247	0	1	1	11
256	67	230	230	230	230	0	0	0	26
255	266	238	238	238	238	0	0	0	17
255	161	249	249	250	250	0	1	1	5
254	269	239	239	240	240	0	1	1	14
253	138	250	250	251	251	0	1	1	2
253	224	236	236	236	236	0	0	0	17
252	260	243	243	244	244	0	1	1	8
251	131	241	241	243	243	0	2	2	8
251	114	249	249	250	250	0	1	1	1
249	151	226	226	226	226	0	0	0	23
249	146	234	234	235	235	0	1	1	14
248	106	246	246	247	247	0	1	1	1
246	141	238	238	238	238	0	0	0	8
246	60	238	238	238	238	0	0	0	8
245	35	230	230	230	230	0	0	0	15
242	206	224	224	226	226	0	2	2	16
241	255	234	234	236	236	0	2	2	5
240	97	212	212	213	219	6	1	7	21
240	55	221	221	221	221	0	0	0	19
238	230	234	234	235	235	0	1	1	3
237	98	213	213	213	213	0	0	0	24
236	175	210	210	212	212	0	2	2	24
236	82	235	235	235	235	0	0	0	1
235	38	210	210	211	211	0	1	1	24
235	180	213	213	215	215	0	2	2	20
235	17	221	221	224	224	0	3	3	11
234	80	208	208	208	210	2	0	2	24
233	77	206	206	208	208	0	2	2	25
233	121	215	215	215	219	4	0	4	14
230	193	216	216	217	217	0	1	1	13
230	81	226	226	226	226	0	0	0	4
229	253	228	228	228	228	0	0	0	1
228	185	227	227	227	227	0	0	0	1
228	30	207	207	207	207	0	0	0	21
226	229	225	225	225	225	0	0	0	1
226	196	211	211	211	211	0	0	0	15
223	96	205	205	207	219	12	2	14	4
222	133	203	203	204	204	0	1	1	18
222	69	196	196	197	211	14	1	15	11
219	113	187	187	190	202	12	3	15	17
219	12	200	200	202	202	0	2	2	17
219	257	197	197	198	200	2	1	3	19
216	178	215	215	215	215	0	0	0	1
216	19	192	192	194	196	2	2	4	20
215	78	189	189	190	191	1	1	2	24
211	182	193	193	193	205	12	0	12	6
210	103	209	209	209	209	0	0	0	1
210	127	196	196	199	204	5	3	8	6
208	209	191	191	191	192	1	0	1	16
205	177	187	187	187	187	0	0	0	18
204	51	178	178	179	179	0	1	1	25
204	45	182	182	184	184	0	2	2	20
204	86	183	183	184	186	2	1	3	18
203	107	193	193	195	195	0	2	2	8
202	189	188	188	188	188	0	0	0	14
202	221	177	177	177	177	0	0	0	25
201	23	178	178	178	178	0	0	0	23
200	174	178	178	180	180	0	2	2	20
198	250	176	176	177	177	0	1	1	21
197	157	177	177	178	178	0	1	1	19
196	105	194	194	195	195	0	1	1	1
196	63	179	179	179	179	0	0	0	17
192	85	191	191	191	191	0	0	0	1
192	144	180	180	181	181	0	1	1	11
191	2	171	171	171	171	0	0	0	20
190	197	181	181	181	181	0	0	0	9
190	265	189	189	189	189	0	0	0	1
187	228	176	176	176	176	0	0	0	11
186	264	182	182	184	184	0	2	2	2
186	270	161	161	163	163	0	2	2	23
183	170	177	177	177	177	0	0	0	6
183	74	166	166	168	168	0	2	2	15
181	1	158	158	158	158	0	0	0	23
178	192	156	156	158	158	0	2	2	20
176	109	154	154	157	157	0	3	3	19
175	58	172	172	172	172	0	0	0	3
175	169	172	172	174	174	0	2	2	1
174	130	165	165	165	165	0	0	0	9
174	166	170	170	171	171	0	1	1	3
173	195	154	154	155	155	0	1	1	18
173	162	165	165	165	165	0	0	0	8
169	247	143	143	146	146	0	3	3	23
169	104	149	149	149	149	0	0	0	20
166	171	153	153	154	154	0	1	1	12
164	70	151	151	153	153	0	2	2	11
163	83	143	143	144	144	0	1	1	19
163	190	162	162	162	162	0	0	0	1
162	235	161	161	161	161	0	0	0	1
161	152	159	159	160	160	0	1	1	1
161	39	146	146	146	146	0	0	0	15
159	191	142	142	142	142	0	0	0	17
156	15	131	131	131	131	0	0	0	25
156	31	155	155	155	155	0	0	0	1
155	123	138	138	140	140	0	2	2	15
155	173	138	138	140	140	0	2	2	15
151	132	132	132	132	132	0	0	0	19
151	8	132	132	133	133	0	1	1	18
150	22	149	149	149	149	0	0	0	1
149	89	148	148	148	148	0	0	0	1
147	236	145	145	146	146	0	1	1	1
147	150	146	146	146	146	0	0	0	1
144	88	124	124	126	126	0	2	2	18
144	223	135	135	135	135	0	0	0	9
144	108	140	140	141	141	0	1	1	3
143	259	119	119	120	120	0	1	1	23
140	184	118	118	118	118	0	0	0	22
140	137	132	132	134	134	0	2	2	6
139	187	137	137	138	138	0	1	1	1
138	37	127	127	129	129	0	2	2	9
138	21	126	126	128	128	0	2	2	10
136	87	112	112	113	113	0	1	1	23
134	186	109	109	110	110	0	1	1	24
134	125	117	117	117	117	0	0	0	17
132	50	108	108	109	109	0	1	1	23
132	76	125	125	126	127	1	1	2	5
132	238	130	130	131	131	0	1	1	1
131	242	127	127	127	129	2	0	2	2
131	112	108	108	109	109	0	1	1	22
130	66	129	129	129	129	0	0	0	1
129	20	118	118	118	118	0	0	0	11
129	7	124	124	124	124	0	0	0	5
129	207	125	125	125	125	0	0	0	4
128	233	104	104	104	104	0	0	0	24
127	135	112	112	113	113	0	1	1	14
124	91	121	121	123	123	0	2	2	1
124	220	115	115	115	115	0	0	0	9
123	68	121	121	122	122	0	1	1	1
123	179	114	114	117	117	0	3	3	6
122	53	97	97	99	99	0	2	2	23
120	75	104	104	104	104	0	0	0	16
119	160	108	108	111	111	0	3	3	8
118	44	93	93	96	96	0	3	3	22
117	16	116	116	116	116	0	0	0	1
117	49	115	115	116	116	0	1	1	1
115	234	98	98	100	100	0	2	2	15
115	237	90	90	90	90	0	0	0	25
114	232	106	106	107	107	0	1	1	7
112	54	100	100	101	101	0	1	1	11
111	4	86	86	86	86	0	0	0	25
110	73	99	99	100	100	0	1	1	10
